period,stock_code,start_date,end_date
2021-11-01,TLKM,2021-11-01,2022-02-02
2021-11-01,TOWR,2021-11-01,2022-02-02
2021-11-01,TPIA,2021-11-01,2022-02-02
2021-11-01,UNTR,2021-11-01,2022-02-02
2021-11-01,UNVR,2021-11-01,2022-02-02
2021-11-01,WIKA,2021-11-01,2022-02-02
2022-02-02,ADRO,2022-02-02,2022-05-09
2022-02-02,AMRT,2022-02-02,2022-05-09
2022-02-02,ANTM,2022-02-02,2022-05-09
2022-02-02,ASII,2022-02-02,2022-05-09
2022-02-02,BBCA,2022-02-02,2022-05-09
2022-02-02,BBNI,2022-02-02,2022-05-09
2022-02-02,BBRI,2022-02-02,2022-05-09
2022-02-02,BBTN,2022-02-02,2022-05-09
2022-02-02,BFIN,2022-02-02,2022-05-09
2022-02-02,BMRI,2022-02-02,2022-05-09
2022-02-02,BRPT,2022-02-02,2022-05-09
2022-02-02,BUKA,2022-02-02,2022-05-09
2022-02-02,CPIN,2022-02-02,2022-05-09
2022-02-02,EMTK,2022-02-02,2022-05-09
2022-02-02,ERAA,2022-02-02,2022-05-09
2022-02-02,EXCL,2022-02-02,2022-05-09
2022-02-02,GGRM,2022-02-02,2022-05-09
2022-02-02,HMSP,2022-02-02,2022-05-09
2022-02-02,HRUM,2022-02-02,2022-05-09
2022-02-02,ICBP,2022-02-02,2022-05-09
2022-02-02,INCO,2022-02-02,2022-05-09
2022-02-02,INDF,2022-02-02,2022-05-09
2022-02-02,INKP,2022-02-02,2022-05-09
2022-02-02,INTP,2022-02-02,2022-05-09
2022-02-02,ITMG,2022-02-02,2022-05-09
2022-02-02,JPFA,2022-02-02,2022-05-09
2022-02-02,KLBF,2022-02-02,2022-05-09
2022-02-02,MDKA,2022-02-02,2022-05-09
2022-02-02,MEDC,2022-02-02,2022-05-09
2022-02-02,MIKA,2022-02-02,2022-05-09
2022-02-02,MNCN,2022-02-02,2022-05-09
2022-02-02,PGAS,2022-02-02,2022-05-09
2022-02-02,PTBA,2022-02-02,2022-05-09
2022-02-02,PTPP,2022-02-02,2022-05-09
2022-02-02,SMGR,2022-02-02,2022-05-09
2022-02-02,TBIG,2022-02-02,2022-05-09
2022-02-02,TINS,2022-02-02,2022-05-09
2022-02-02,TKIM,2022-02-02,2022-05-09
2022-02-02,TLKM,2022-02-02,2022-05-09
2022-02-02,TOWR,2022-02-02,2022-05-09
2022-02-02,TPIA,2022-02-02,2022-05-09
2022-02-02,UNTR,2022-02-02,2022-05-09
2022-02-02,UNVR,2022-02-02,2022-05-09
2022-02-02,WIKA,2022-02-02,2022-05-09
2022-02-02,WSKT,2022-02-02,2022-05-09
2022-05-09,ADRO,2022-05-09,2022-06-08
2022-05-09,AMRT,2022-05-09,2022-06-08
2022-05-09,ANTM,2022-05-09,2022-06-08
2022-05-09,ASII,2022-05-09,2022-06-08
2022-05-09,BBCA,2022-05-09,2022-06-08
2022-05-09,BBNI,2022-05-09,2022-06-08
2022-05-09,BBRI,2022-05-09,2022-06-08
2022-05-09,BBTN,2022-05-09,2022-06-08
2022-05-09,BFIN,2022-05-09,2022-06-08
2022-05-09,BMRI,2022-05-09,2022-06-08
2022-05-09,BRPT,2022-05-09,2022-06-08
2022-05-09,BUKA,2022-05-09,2022-06-08
2022-05-09,CPIN,2022-05-09,2022-06-08
2022-05-09,EMTK,2022-05-09,2022-06-08
2022-05-09,ERAA,2022-05-09,2022-06-08
2022-05-09,EXCL,2022-05-09,2022-06-08
2022-05-09,GGRM,2022-05-09,2022-06-08
2022-05-09,HMSP,2022-05-09,2022-06-08
2022-05-09,HRUM,2022-05-09,2022-06-08
2022-05-09,ICBP,2022-05-09,2022-06-08
2022-05-09,INCO,2022-05-09,2022-06-08
2022-05-09,INDF,2022-05-09,2022-06-08
2022-05-09,INKP,2022-05-09,2022-06-08
2022-05-09,INTP,2022-05-09,2022-06-08
2022-05-09,ITMG,2022-05-09,2022-06-08
2022-05-09,JPFA,2022-05-09,2022-06-08
2022-05-09,KLBF,2022-05-09,2022-06-08
2022-05-09,MDKA,2022-05-09,2022-06-08
2022-05-09,MEDC,2022-05-09,2022-06-08
2022-05-09,MIKA,2022-05-09,2022-06-08
2022-05-09,MNCN,2022-05-09,2022-06-08
2022-05-09,PGAS,2022-05-09,2022-06-08
2022-05-09,PTBA,2022-05-09,2022-06-08
2022-05-09,PTPP,2022-05-09,2022-06-08
2022-05-09,SMGR,2022-05-09,2022-06-08
2022-05-09,TBIG,2022-05-09,2022-06-08
2022-05-09,TINS,2022-05-09,2022-06-08
2022-05-09,TKIM,2022-05-09,2022-06-08
2022-05-09,TLKM,2022-05-09,2022-06-08
2022-05-09,TOWR,2022-05-09,2022-06-08
2022-05-09,TPIA,2022-05-09,2022-06-08
2022-05-09,UNTR,2022-05-09,2022-06-08
2022-05-09,UNVR,2022-05-09,2022-06-08
2022-05-09,WIKA,2022-05-09,2022-06-08
2022-05-09,WSKT,2022-05-09,2022-06-08
